current_run,Pedido,ordinal_entered,Cantidad Pedida,Distancia,Vehiculo Asignado,Usa Bomba,Inicio Carga,Inicio Viaje,Inicio Descarga,Inicio Vuelta,Llegada a Planta,Inicio Limpieza,Fin Limpieza,
936,11.2,5,7.19198,4.45836,Camion 8_3,0,2.44542,2.68515,2.86348,3.10322,3.28155,3.28155,3.69542,
936,15,6,12.7284,9.81021,Camion 15_2,1,1.94542,2.77623,3.16864,3.59292,3.98533,3.98533,4.23533,
936,1,9,12.2097,12.3707,Camion 15_1,0,2.19542,2.60241,3.09724,3.50423,3.99905,3.99905,4.48533,
936,6.1,10,6.15174,6.15587,Camion 8_1,0,3.04182,3.44542,3.69165,3.89671,4.14295,4.14295,4.73533,
936,6.2,10,6.15174,6.15587,Camion 8_2,0,3.44542,3.65048,3.89671,4.10177,4.348,4.348,4.98533,
936,10,16,9.53528,6.48096,Camion 11_2,0,3.19542,3.56472,3.82396,4.1418,4.40104,4.40104,5.23533,
936,17,15,10.9767,9.99949,Camion 11_1,0,2.94542,3.31131,3.71129,4.07718,4.47716,4.47716,5.48533,
936,12.1,12,5.55762,5.65274,Camion 8_3,0,4.14295,4.73533,4.96144,5.1467,5.3728,5.3728,5.73533,
936,3,13,14.4806,2.82087,Camion 15_2,0,4.23533,4.71802,4.83085,5.31354,5.42638,5.42638,5.98533,
936,12.2,12,5.55762,5.65274,Camion 8_1,0,4.73533,4.92059,5.1467,5.33195,5.55806,5.55806,6.23533,
936,13.1,17,4.95524,7.67269,Camion 8_2,0,4.98533,5.23533,5.54224,5.70741,6.01432,6.01432,6.48533,
936,13.2,17,4.95524,7.67269,Camion 11_2,0,5.23533,5.40051,5.70741,5.87259,6.1795,6.1795,6.73533,
936,14,18,11.4908,13.9269,Camion 15_1,0,4.48533,4.86836,5.42543,5.80846,6.36553,6.36553,6.98533,
937,16,10,6.0426,7.12715,Camion 8_1,0,0.000555556,0.201976,0.487062,0.688482,0.973567,0.973567,1.22357,
937,11,3,14.384,4.45836,Camion 15_2,0,0.201976,0.863047,1.04138,1.52085,1.69918,1.69918,1.94918,
937,14,2,11.4908,13.9269,Camion 15_1,0,0.000555556,0.383582,0.940657,1.32368,1.88076,1.88076,2.19918,
937,6.1,4,6.15174,6.15587,Camion 8_3,0,0.973567,1.22357,1.4698,1.67486,1.92109,1.92109,2.44918,
937,7,1,9.45458,13.6596,Camion 11_1,1,0.000555556,0.517128,1.06351,1.37866,1.92505,1.92505,2.69918,
937,6.2,4,6.15174,6.15587,Camion 8_1,0,1.22357,1.42863,1.67486,1.87992,2.12615,2.12615,2.94918,
937,17,5,10.9767,9.99949,Camion 11_2,0,0.517128,1.1165,1.51648,1.88237,2.28235,2.28235,3.19918,
937,4,12,7.00448,5.3397,Camion 8_2,1,0.383582,1.92505,2.13864,2.37212,2.58571,2.58571,3.44918,
937,3,7,14.4806,2.82087,Camion 15_2,0,1.94918,2.43187,2.5447,3.02739,3.14023,3.14023,3.69918,
937,9,9,12.4475,2.55486,Camion 15_1,0,2.19918,2.6141,2.71629,3.13121,3.2334,3.2334,3.94918,
937,18.1,6,6.41533,3.37169,Camion 8_3,0,2.44918,2.94918,3.08405,3.29789,3.43276,3.43276,4.19918,
937,18.2,6,6.41533,3.37169,Camion 8_1,0,2.94918,3.16303,3.29789,3.51174,3.6466,3.6466,4.44918,
937,8,15,8.16591,2.4881,Camion 11_2,0,3.19918,3.47138,3.5709,3.8431,3.94262,3.94262,4.69918,
937,13,8,9.91048,7.67269,Camion 11_1,0,2.69918,3.02953,3.33644,3.66679,3.9737,3.9737,4.94918,
937,12,13,11.1152,5.65274,Camion 15_2,0,3.69918,4.06969,4.2958,4.66631,4.89242,4.89242,5.19918,
937,5.1,11,6.68062,11.4074,Camion 8_2,0,3.44918,4.19918,4.65548,4.87816,5.33446,5.33446,5.58446,
937,5.2,11,6.68062,11.4074,Camion 8_3,0,4.19918,4.42187,4.87816,5.10085,5.55715,5.55715,5.83446,
937,15,14,12.7284,9.81021,Camion 15_1,1,3.94918,4.37346,4.76587,5.19015,5.58256,5.58256,6.08446,
937,10,17,9.53528,6.48096,Camion 11_2,0,4.69918,5.01702,5.27626,5.5941,5.85334,5.85334,6.33446,
937,2,18,9.00354,11.0529,Camion 11_1,0,4.94918,5.2493,5.69142,5.99153,6.43365,6.43365,6.68365,
937,1.1,16,6.10487,12.3707,Camion 8_1,0,5.33446,5.58446,6.07929,6.28278,6.77761,6.77761,7.02761,
937,1.2,16,6.10487,12.3707,Camion 8_2,0,5.58446,5.78796,6.28278,6.48628,6.98111,6.98111,7.27761,
938,4,6,7.00448,5.3397,Camion 8_1,1,0.000555556,0.234038,0.447627,0.681109,0.894697,0.894697,1.1447,
938,9,3,12.4475,2.55486,Camion 15_2,0,0.234038,0.798499,0.900694,1.31561,1.41781,1.41781,1.66781,
938,16,8,6.0426,7.12715,Camion 8_2,0,0.383582,0.750611,1.0357,1.23712,1.5222,1.5222,1.91781,
938,11.1,5,7.19198,4.45836,Camion 8_3,0,0.894697,1.1447,1.32303,1.56276,1.7411,1.7411,2.16781,
938,14,1,11.4908,13.9269,Camion 15_1,0,0.000555556,0.383582,0.940657,1.32368,1.88076,1.88076,2.41781,
938,11.2,5,7.19198,4.45836,Camion 8_1,0,1.1447,1.38443,1.56276,1.8025,1.98083,1.98083,2.66781,
938,2,4,9.00354,11.0529,Camion 11_2,0,0.549191,1.05073,1.49285,1.79296,2.23508,2.23508,2.91781,
938,7,2,9.45458,13.6596,Camion 11_1,1,0.000555556,0.894697,1.44108,1.75623,2.30262,2.30262,3.16781,
938,18,10,12.8307,3.37169,Camion 15_2,0,1.66781,2.09549,2.23036,2.65805,2.79292,2.79292,3.41781,
938,6.1,9,6.15174,6.15587,Camion 8_2,0,1.91781,2.16781,2.41404,2.6191,2.86533,2.86533,3.66781,
938,6.2,9,6.15174,6.15587,Camion 8_3,0,2.16781,2.37286,2.6191,2.82416,3.07039,3.07039,3.91781,
938,8,12,8.16591,2.4881,Camion 11_1,0,3.16781,3.44,3.53953,3.81172,3.91125,3.91125,4.16781,
938,13,7,9.91048,7.67269,Camion 11_2,0,2.91781,3.24815,3.55506,3.88541,4.19232,4.19232,4.44232,
938,5,14,13.3612,11.4074,Camion 15_1,0,2.41781,2.86318,3.31948,3.76485,4.22115,4.22115,4.69232,
938,1.1,11,6.10487,12.3707,Camion 8_1,0,2.86533,3.66781,4.16263,4.36613,4.86096,4.86096,5.11096,
938,15,15,12.7284,9.81021,Camion 15_2,1,3.41781,3.84209,4.2345,4.65878,5.05119,5.05119,5.36096,
938,1.2,11,6.10487,12.3707,Camion 8_2,0,3.66781,3.8713,4.36613,4.56962,5.06445,5.06445,5.61096,
938,10,13,9.53528,6.48096,Camion 11_1,0,4.16781,4.48565,4.74489,5.06273,5.32197,5.32197,5.86096,
938,3.1,16,7.24032,2.82087,Camion 8_3,0,4.86096,5.11096,5.22379,5.46513,5.57797,5.57797,6.11096,
938,3.2,16,7.24032,2.82087,Camion 8_1,0,5.11096,5.3523,5.46513,5.70648,5.81931,5.81931,6.36096,
938,12,17,11.1152,5.65274,Camion 15_1,0,4.69232,5.06283,5.28894,5.65945,5.88556,5.88556,6.61096,
938,17,18,10.9767,9.99949,Camion 11_2,0,4.44232,4.80821,5.20819,5.57408,5.97406,5.97406,6.86096,
939,4,9,7.00448,5.3397,Camion 8_1,1,0.000555556,0.234038,0.447627,0.681109,0.894697,0.894697,1.1447,
939,8,2,8.16591,2.4881,Camion 11_1,0,0.000555556,0.506235,0.605759,0.877956,0.977481,0.977481,1.3947,
939,16,16,6.0426,7.12715,Camion 8_2,0,0.383582,0.707655,0.992741,1.19416,1.47925,1.47925,1.72925,
939,3,3,14.4806,2.82087,Camion 15_2,0,0.234038,0.86627,0.979104,1.46179,1.57463,1.57463,1.97925,
939,6.1,4,6.15174,6.15587,Camion 8_3,0,0.894697,1.1447,1.39093,1.59599,1.84222,1.84222,2.22925,
939,10,5,9.53528,6.48096,Camion 11_2,0,0.506235,1.0255,1.28474,1.60258,1.86182,1.86182,2.47925,
939,14,1,11.4908,13.9269,Camion 15_1,0,0.000555556,0.383582,0.940657,1.32368,1.88076,1.88076,2.72925,
939,6.2,4,6.15174,6.15587,Camion 8_1,0,1.1447,1.34976,1.59599,1.80105,2.04728,2.04728,2.97925,
939,17,7,10.9767,9.99949,Camion 11_1,0,1.3947,1.76059,2.16057,2.52646,2.92644,2.92644,3.22925,
939,5.1,6,6.68062,11.4074,Camion 8_2,0,1.84222,2.22925,2.68554,2.90823,3.36453,3.36453,3.61453,
